,입고,출고전_총재고,주문,총수요,출고량,부족재고,재고,총주문량
0,4,16,6,6,6,0,10,0
1,0,10,0,0,0,0,10,5
2,5,15,5,5,5,0,10,5
3,5,15,5,5,5,0,10,5
4,5,15,5,5,5,0,10,5
5,5,15,5,5,5,0,10,5
6,5,15,9,9,9,0,6,5
7,5,11,19,19,10,9,0,4
8,4,4,19,28,3,25,0,19
9,13,13,19,44,12,32,0,19
10,3,3,19,51,2,49,0,19
11,12,12,19,68,11,57,0,19
12,2,2,19,76,1,75,0,19
13,17,17,19,94,16,78,0,19
14,17,17,19,97,16,81,0,19
15,17,17,19,100,16,84,0,19
16,17,17,19,103,16,87,0,19
17,17,17,19,106,16,90,0,19
18,17,17,19,109,16,93,0,19
19,17,17,19,112,16,96,0,19
20,17,17,19,115,16,99,0,19
21,17,17,19,118,16,102,0,19
22,17,17,19,121,16,105,0,19
23,17,17,20,125,16,109,0,19
24,17,17,5,114,16,98,0,19
25,17,17,5,103,16,87,0,19
26,17,17,5,92,16,76,0,19
27,17,17,5,81,16,65,0,19
28,17,17,5,70,16,54,0,19
29,17,17,5,59,16,43,0,19
30,17,17,5,48,16,32,0,19
31,17,17,5,37,16,21,0,19
32,17,17,5,26,16,10,0,19
33,17,17,5,15,15,0,2,20
34,17,19,5,5,5,0,14,5
35,17,31,5,5,5,0,26,5
36,17,43,5,5,5,0,38,5
37,17,55,5,5,5,0,50,5
38,17,67,5,5,5,0,62,5
39,17,79,5,5,5,0,74,5
40,17,91,5,5,5,0,86,5
41,17,103,5,5,5,0,98,5
42,12,110,5,5,5,0,105,0
43,0,105,5,5,5,0,100,0
44,0,100,5,5,5,0,95,0
45,0,95,5,5,5,0,90,5
46,5,95,5,5,5,0,90,5
47,5,95,5,5,5,0,90,5
48,5,95,4,4,4,0,91,5
49,5,96,14,14,14,0,82,5
50,5,87,19,19,19,0,68,5
51,5,73,19,19,19,0,54,5
52,5,59,20,20,20,0,39,5
53,5,44,5,5,5,0,39,5
54,5,44,5,5,5,0,39,5
55,5,44,5,5,5,0,39,5
56,5,44,4,4,4,0,40,5
57,5,45,19,19,19,0,26,5
58,5,31,20,20,20,0,11,5
59,5,16,5,5,5,0,11,5
60,5,16,4,4,4,0,12,5
